image_label,nb_coins,value,units,cents
006.jpeg,23,3 euros 32 centimes,3,32
007.jpeg,23,3 euros 32 centimes,3,32
008.jpeg,14,1 euro 66 centimes,1,66
009.jpeg,14,1 euro 66 centimes,1,66
010.jpeg,10,1 euro 19 centimes,1,19
011.jpeg,5,65 centimes,0,65
012.jpeg,5,54 centimes,0,54
013.jpeg,4,47 centimes,0,47
014.jpeg,14,1 euro 66 centimes,1,66
015.jpeg,9,1 euros 50 centimes,1,50
0e01c.jpg,1,1 centime,0,1
0e10c.jpg,1,10 centimes,0,10
0e20c.jpg,1,20 centimes,0,20
0e2c.jpg,1,2 centimes,0,2
0e50c.jpg,1,50 centimes,0,50
10.jpg,9,4 euros 62 centimes,4,62
1e33c.jpg,12,1 euro 33 centimes,1,33
1e83c.jpg,13,1 euro 83 centimes,1,83
1.jpg,4,2 euros 72 centimes,2,72
2e01c.jpg,2,2 euros 1 centimes,2,1
2e52c.jpg,8,2 euros 52 centimes,2,52
2e.jpg,1,2 euros,2,0
2.jpg,2,70 centimes,0,70
3e07c.jpg,22,3 euros 7 centimes,3,7
3e22c.jpg,10,3 euros 22 centimes,3,22
3e33c.jpg,13,3 euros 33 centimes,3,33
3e58c.jpg,15,3 euros 58 centimes,3,58
3e87c.jpg,20,3 euros 87 centimes,3,87
3.jpg,1,2 euros,2,0
4.jpg,5,3 euros 72 centimes,3,72
5e07.jpg,23,5 euros 7 centimes,5,7
5.jpg,4,3 euros 52 centimes,3,52
6.jpg,2,40 centimes,0,40
7.jpg,3,3 euros 10 centimes,3,10
8.jpg,3,3 euros 10 centimes,3,10
9.jpg,4,3 euros 70 centimes,3,70
IMG_1642.JPG,8,4 euros 87 centimes,4,87
IMG_1643.JPG,4,2 euros 75 centimes,2,75
IMG_1644.JPG,5,3 euros 75 centimes,3,75
IMG_1645.JPG,6,4 euros 75 centimes,4,75
IMG_1647.JPG,6,4 euros 75 centimes,4,75
IMG_1648.JPG,7,3 euros 87 centimes,3,87
IMG_1649.JPG,8,4 euros 87 centimes,4,87
IMG_1650.JPG,8,4 euros 87 centimes,4,87
IMG_1651.JPG,3,3 euros 10 centimes,3,10
IMG_1652.JPG,4,2 euros 60 centimes,2,60
IMG_20240206_213036.jpg,14,3 euros 41 centimes,3,41
IMG_20240206_213214.jpg,4,3 euros 20 centimes,3,20
IMG_20240206_213231.jpg,4,3 euros 20 centimes,3,20
IMG_20240206_213239.jpg,6,3 euros 32 centimes,3,32
IMG_20240206_213252.jpg,6,3 euros 32 centimes,3,32
IMG_5950.jpeg,1,10 centimes,0,10
IMG_5951.jpeg,1,1 euro,1,0
IMG_5952.jpeg,2,1 euro 10 centimes,1,10
IMG_5953.jpeg,3,1 euro 12 centimes,1,12
IMG_5954.jpeg,1,2 centimes,0,2
IMG_5955.jpeg,1,2 euros,2,0
IMG_5956.jpeg,1,2 euros,2,0
IMG_5957.jpeg,1,20 centimes,0,20
IMG_5958.jpeg,1,20 centimes,0,20
IMG_5960.jpeg,1,5 centimes,0,5
ImgPiece10.jpeg,26,3 euros 80 centimes,3,80
ImgPiece1.jpeg,6,3 euros 58,3,58
ImgPiece2.jpeg,3,3 euros,3,0
ImgPiece3.jpeg,7,61 centimes,0,61
ImgPiece4.jpeg,6,20 centimes,0,20
ImgPiece5.jpeg,13,3 euros 63,3,63
ImgPiece6.jpeg,20,1 euros 83,1,83
ImgPiece7.jpeg,25,63 centimes,0,63
ImgPiece8.jpeg,29,3 euros,3,0
ImgPiece9.jpeg,30,5 euros 98,5,98
PXL_20240206_141437681.jpg,1,2 euros,2,0
PXL_20240206_141449752.jpg,1,1 euro,1,0
PXL_20240206_141459000.jpg,1,50 centimes,0,50
PXL_20240206_141506457.jpg,1,20 centimes,0,20
PXL_20240206_141510870.jpg,1,20 centimes,0,20
PXL_20240206_141516074.jpg,1,10 centimes,0,10
PXL_20240206_141524308.jpg,1,1 euro,1,0
PXL_20240206_141535905.jpg,3,3 euros 20 centimes,3,20
PXL_20240206_141545421.jpg,6,4 euros 80 centimes,4,80
PXL_20240206_231416015.jpg,4,35 centimes,0,35
PXL_20240206_231649824.jpg,4,1 euro 20 centimes,1,20
